user_id|user_name|screen_name|description|favorites_count|followers_count|statuses_count|friends_count|listed_count|location|language|time_zone|search_keyword|brand_tag
67118823|Yoplait Yogurt|Yoplait|The official Twitter account for Yoplait USA |6856|67719|14743|12116|539|Minneapolis MN|en||@yoplait|yoplait
538237177|Chobani Caf |ChobaniCafe|A first of its kind Mediterranean yogurt bar this is Chobani like you ve never had it before |308|3059|5903|606|45|152 Prince Street NYC|en||@chobanicafe|chobani
175576528|Chobani|Chobani|Better food for more people Chobani|45955|104758|148161|6349|1327||en||@chobani|chobani
171727607|FAGE|FAGEUSA|FAGE pronounced fa yeh is known for FAGE Total the all natural Greek yogurt that is ridiculously thick and awesomely delicious |9|88382|5014|1003|554|Johnstown NY|en||@fageusa|fage
279075119|Activia US|Activia|Add Activia and its billions of live and active probiotics in your healthyroutine Try our 2 week Probiotic Challenge ItStartsInside https t co 6Vi8565Lao|443|6197|1220|213|36||en||@activia|dannon
312735063|Oikos Greek Yogurt|Oikos|Every day you bring the hustle Oikos Greek yogurt helps you fuel it To learn more check out https t co OJsIZ0G7Yi FuelYourHustle |2947|20867|2441|19|145||en||@oikos|dannon
36933826|YoCrunch Yogurt|YoCrunch|YoCrunch is creamy yogurt with fun mix ins Don t miss a crunch Follow us now for offers updates and tips |108|7155|2740|8199|98|Naugatuck CT|en||@yocrunch|dannon
88710657|The Dannon Company|Dannon|The official Twitter page of Dannon branded Yogurt Our wide variety of yogurt is creamy and delicious Try our new Whole Milk Yogurt line |950|24910|3698|709|351|White Plains NY|en||@dannon|dannon
135518718|Brown Cow Yogurt|browncowyogurt|Great tasting yogurt for people who love food the earth the simple things in life |236|448|272|72|12|Londonderry NH|en||@browncowyogurt|stonyfield
28418204|Stonyfield Organic|Stonyfield|Everything you want and nothing you don t Fresh organic tweets from the world s leading organic yogurt maker |10090|82990|15047|15864|1557|Londonderry NH|en||@stonyfield|stonyfield
354336157|siggi s|siggisdairy|rather delicious yogurt products with simple ingredients and not a lot of sugar|16596|9806|12281|1101|132|The State of New York|en||@siggisdairy|siggis
